SELLER_GSTIN,PURCHASER_GSTIN,FILING_PERIOD,INVOICE_NUM,INVOICE_DATE,QUANTITY,TAXABLE_AMOUNT,TAX_RATE,CGST,SGST,IGST,CESS
C1C058DFB2,A83517B656,012018,008457,2018-01-17,1801,13300.0,18,,,2394.0,0.0
25494F79FA,DA0A0DFAB7,012018,MAP1803134773434,2018-01-31,1,400.0,18,,,72.0,
8749F52DE8,03F3AAF37F,012018,83560650814,2018-01-18,2,1874.0,28,262.36,262.36,,0.0
A688617A12,7E4B9FB459,012018,FGP/17/P/12025,2018-01-29,2801,112500.0,28,,,31500.0,0.0
2B8494EEE3,EFF708C55F,012018,1745013401,2018-01-24,1,1379100.0,18,0.0,0.0,248238.0,0.0
A7D3CEE190,D4C0864609,012018,TML/PP/1718/1848,2018-01-05,1,679794.0,12,0.0,0.0,81575.28,0.0
65B11036F4,6BC81CDCA2,012018,SDWJKTTPB1712008,2018-01-11,1,28.04,18,0.0,0.0,5.05,0.0
F4F23F71CC,B3EB95299E,012018,2762,2018-01-16,1801,890.0,18,80.1,80.1,,0.0
6920AA6331,7433F02759,012018,R-1025,2018-01-30,1,6164512.55,0,0.0,0.0,,
824D0342B8,8A70FD8BB3,012018,13218/0000251610,2018-01-04,1,11240.0,5,0.0,0.0,562.0,0.0
C44FFF7C7A,21D79BDA25,012018,4017507347,2018-01-26,1800,208800.0,18,,,37584.0,0.0
65B11036F4,514BBEED72,012018,DR1000001874,2018-01-12,1801,76.27,18,,,13.73,0.0
B017546699,7C0F2B0C3C,012018,A8319190118L,2018-01-19,1801,15217.5,18,1369.58,1369.58,,0.0
9B80ACFC15,8E161D8915,012018,DI-L129/17-18,2018-01-30,1800,47561.0,18,,,8560.98,
6920AA6331,C04864C61E,012018,519,2018-01-08,1,1539882.2,0,0.0,0.0,0.0,0.0
824D0342B8,3D05426DAB,012018,G/1369,2018-01-30,2,37911.29,18,,,6824.03,0.0
6920AA6331,6C38DF537E,012018,BB/FRT/1718/0299,2018-01-10,1,69199.0,18,0.0,0.0,12455.82,0.0
5DA0527958,E53FEB2CEB,012018,MT/GJ10586/1718,2018-01-08,1801,4700.0,18,,,846.0,0.0
824D0342B8,79555279E7,012018,05177,2018-01-22,1,2577.84,12,154.67,154.67,,0.0
C0CDC4F754,CA2B65EED4,012018,CHD7205204,2018-01-09,1,292.0,18,,,52.56,0.0
73D046461A,C2C0A447FC,012018,T-378,2018-01-13,101,9765.62,28,1367.19,1367.19,0.0,0.0
C9202698C4,5B4D531AD9,012018,SG/193/17-18,2018-01-17,1801,4233.3,18,,,761.99,0.0
F4E518B376,65B11036F4,012018,4320819981,2018-01-15,1,299.0,18,26.91,26.91,0.0,0.0
9B80ACFC15,D13BF195CA,012018,4079FMBIL0019586,2018-01-09,1801,3500.0,18,315.0,315.0,,0.0
A515052EAE,54C5E0676F,012018,G788206,2018-01-12,1801,590029.66,18,,,106205.34,0.0
0FF6759AB7,EAEB4709CB,012018,4540075553,2018-01-04,1,804057.58,5,,,40202.88,
F3D1E24350,A62B9D2D0C,012018,0017011108,2018-01-31,1801,396570.23,18,,,71382.64,0.0
824D0342B8,D7F0338E96,012018,H8000014,2018-01-09,1801,440.0,18,,,79.2,0.0
B64AAF6835,FA8D45A223,012018,8953026731,2018-01-20,1,111778.75,28,0.0,0.0,31298.05,0.0
2DCA4E61B2,4920CFCF5C,012018,577,2018-01-10,1201,964650.0,12,,,115758.0,0.0
44C4210B8E,02BBF24E95,012018,DCXLHRJL35003,2018-01-31,501,183.0,5,,,9.15,0.0
B64AAF6835,FA8D45A223,012018,8953028570,2018-01-29,1,67997.1,28,0.0,0.0,19039.19,0.0
F4E518B376,418E3CFC45,012018,C03118R000112,2018-01-31,1,4224.44,18,380.2,380.2,,
A6448C243D,65B11036F4,012018,4320823065,2018-01-25,1,1026.0,18,92.34,92.34,0.0,0.0
7505EF1EFB,126885DC21,012018,PB08DU7370,2018-01-23,1,1843.61,18,165.92,165.92,,0.0
65B11036F4,4C9C1254D6,012018,33127080001687,2018-01-05,1,4.31,18,,,0.78,
E9A71DE9AC,8BAD56BE10,012018,1610014574,2018-01-18,1801,2937600.0,18,,,528768.0,0.0
A7215054CB,CFF57666A7,012018,TRPLOGS725,2018-01-18,1,229635.0,5,,,11481.75,14580.0
D418B1AEB2,B77A5168B0,012018,NDCPB0002345629,2018-01-05,1,1495.0,18,134.55,134.55,0.0,0.0
A5227F3731,4D0958D30E,012018,PBPO0005586676,2018-01-05,1,525.0,18,47.25,47.25,,
39CBE490DA,6EFA7B405D,012018,03171809TI001265,2018-01-31,1801,4000.0,18,360.0,360.0,,0.0
96213E7C2C,EFFF14DCCC,012018,1138455938,2018-01-16,1801,2954738.04,18,,,531852.85,0.0
B64AAF6835,0379FAAB49,012018,GIPL170549,2018-01-22,501,88263.0,5,,,4413.15,0.0
446822C03B,DC8C97A14B,012018,3346,2018-01-25,1801,187920.0,18,,,33825.6,0.0
0FF6759AB7,3CFC218C41,012018,PB1100055574,2018-01-29,501,704142.17,5,17603.55,17603.55,,0.0
C44FFF7C7A,398C7082EB,012018,IN0001115329,2018-01-22,1,75504.0,12,,,9060.48,
C1C058DFB2,4954D8982D,012018,QACA1718/05071,2018-01-05,1801,5000.0,18,,,900.0,0.0
F4E518B376,410127754A,012018,17470,2018-01-10,1,3125.0,18,281.25,281.25,,0.0
0F08B6DF08,E306607037,012018,2118702230004864,2018-01-17,1,123630.19,28,0.0,0.0,34616.45,0.0
F3D1E24350,A62B9D2D0C,012018,0017063311,2018-01-31,1801,133740.0,18,,,24073.2,0.0
C1C058DFB2,A83517B656,012018,008553,2018-01-27,1801,14650.0,18,,,2637.0,0.0
8381D0626D,11D87D3B83,012018,UMAX/17-18/3537,2018-01-18,1801,160782.0,18,,,28940.76,0.0
65B11036F4,342C35FFBB,012018,WB1718ASDEC00128,2018-01-08,1,15.98,18,0.0,0.0,2.88,0.0
6920AA6331,C04864C61E,012018,485,2018-01-05,1,1535249.41,0,0.0,0.0,0.0,0.0
B64AAF6835,C09D5ACE3D,012018,022-9651/17-BER,2018-01-20,1,102956.25,28,14413.88,14413.88,,
F4F23F71CC,5BE3D3B917,012018,IPB00DDLE0021052,2018-01-24,1,60.0,18,5.4,5.4,,
6920AA6331,30868A6388,012018,416,2018-01-04,1,5370860.99,0,0.0,0.0,,0.0
62CD3BF990,1D916FB203,012018,3702012363,2018-01-04,1801,522522.0,18,,,94053.96,0.0
B64AAF6835,FA8D45A223,012018,8953023476,2018-01-02,1,112367.75,28,0.0,0.0,31462.97,0.0
8749F52DE8,2FE67CF84B,012018,PB/RB/75/17-18,2018-01-11,1,15984.0,18,0.0,0.0,2877.12,0.0
6920AA6331,4559B3F23D,012018,856,2018-01-05,1,2322024.0,0,0.0,0.0,,
B64AAF6835,FA8D45A223,012018,8953026828,2018-01-20,1,67067.25,28,0.0,0.0,18778.83,0.0
8749F52DE8,A422A99DA5,012018,09LNS0026301,2018-01-30,1,17842222.5,12,,,2141066.7,
7505EF1EFB,A91332CAD2,012018,11502CA18V7656,2018-01-05,2,2170.0,28,303.8,303.8,,0.0
D700E408A8,F06BA4CA47,012018,1692,2018-01-23,1,110979.0,18,9988.11,9988.11,,0.0
A515052EAE,B465DF528F,012018,Q814632,2018-01-10,1801,88153.8,18,,,15867.68,0.0
C15EA8D5A2,B77A5168B0,012018,NDCPB0002364870,2018-01-22,1,15745.1,18,1417.06,1417.06,0.0,0.0
D2D5838FE3,F67D59D86B,012018,KFL137,2018-01-08,501,724671.0,5,18116.78,18116.78,,0.0
D418B1AEB2,9A3DC12E25,012018,20180000000540,2018-01-24,1801,1405.8,18,126.52,126.52,,0.0
824D0342B8,6D19D34A17,012018,0480/1718,2018-01-10,1800,24771.0,18,,,4458.78,
824D0342B8,3D05426DAB,012018,G/1364,2018-01-30,1,26306.45,18,,,4735.16,0.0
5A4FC8F226,8414900739,012018,AEPL/G/17-18/324,2018-01-09,1800,168004.7,18,,,30240.85,
5DA0527958,12AEE29D46,012018,TN/JAN18/101028,2018-01-30,1,11115.0,5,0.0,0.0,650.0,0.0
80E18AC42B,2116F0C5F6,012018,9190060453,2018-01-04,2,166543.56,18,0.0,0.0,29977.84,0.0
8749F52DE8,BABC2D11EC,012018,IWS/17-18/14746,2018-01-16,1801,31020.34,18,,,5583.66,0.0
62CD3BF990,9D153A1309,012018,CHSAL110601718,2018-01-29,1,17052.05,18,0.0,0.0,3069.37,0.0
73D046461A,57EB146356,012018,031718IFD0000390,2018-01-24,1,5959.33,18,536.34,536.34,,
C0CDC4F754,295E23C284,012018,IXC/J/54/17-18,2018-01-31,1801,5308.0,18,,,955.44,0.0
3E1678B062,2943E2D2BB,012018,ST0001404594,2018-01-29,1801,6998698.0,18,,,1259765.64,0.0
C0CDC4F754,CA2B65EED4,012018,CHD7102548,2018-01-19,1,292.0,18,,,52.56,0.0
A688617A12,F887B76D41,012018,FGS/17/P/18405,2018-01-01,1,152000.0,28,0.0,0.0,42560.0,0.0
446822C03B,9E473218E2,012018,181100819,2018-01-25,1,2200.0,18,0.0,0.0,396.0,0.0
F86C95E8BD,00E35A0C7E,012018,HRF171800014511,2018-01-22,1,12940.0,0,0.0,0.0,0.0,0.0
6920AA6331,30868A6388,012018,353,2018-01-01,1,6133477.74,0,0.0,0.0,,0.0
62CD3BF990,1D916FB203,012018,3702012118,2018-01-02,1801,1262839.5,18,,,227311.11,0.0
80E18AC42B,D4C0864609,012018,TML/PP/1718/1953,2018-01-22,1,816901.0,12,0.0,0.0,98028.12,0.0
E9A71DE9AC,2612D7D192,012018,GDT60607095586,2018-01-18,1801,34597.89,18,,,6227.62,0.0
776BBCB820,0F7D7CD530,012018,5396202413,2018-01-10,1,6284.96,18,,,1131.29,
9B80ACFC15,716192CC3F,012018,5250005331,2018-01-31,1,2064.0,18,185.76,185.76,0.0,0.0
8381D0626D,02469A33E0,012018,2116,2018-01-29,1200,1732000.0,12,,,207840.0,
F4E518B376,F75D528ACE,012018,754,2018-01-22,1800,25600.0,18,,,4608.0,
6920AA6331,507FDBAC1E,012018,9918010339710029,2018-01-01,1,30000.0,5,750.0,750.0,,
1480269030,68D316FF83,012018,004440050765,2018-01-17,1,12005.71,18,0.0,0.0,2161.03,0.0
B64AAF6835,FA8D45A223,012018,8953028239,2018-01-27,1,66820.95,28,0.0,0.0,18709.87,0.0
62CD3BF990,657B1CD6F6,012018,3724032433,2018-01-23,1,8742.5,18,0.0,0.0,1573.65,
446822C03B,9E473218E2,012018,181100792,2018-01-19,1,20185.0,18,0.0,0.0,3633.3,0.0
1480269030,68D316FF83,012018,004440051726,2018-01-22,1,280.84,28,0.0,0.0,78.64,0.0
62CD3BF990,44CBF774B2,012018,C00279930,2018-01-31,1,50494.35,18,4544.49,4544.49,0.0,0.0
CADC29DB4C,C484210666,012018,101/0380,2018-01-30,1801,6874.0,18,618.66,618.66,,0.0
A688617A12,F887B76D41,012018,FGS/17/P/18911,2018-01-07,1,200000.0,28,0.0,0.0,56000.0,0.0
B64AAF6835,FA8D45A223,012018,8953024960,2018-01-10,1,111778.75,28,0.0,0.0,31298.05,0.0
CED3A7832E,B8BB8AC648,012018,9265061495,2018-01-24,1,138043.8,18,,,24847.87,
2242D4F292,C5A3BD480E,012018,1xT000090,2018-01-01,2,6146.43,18,,,1106.36,0.0
A5227F3731,F4E518B376,012018,NCB1800397233469,2018-01-02,1,50.0,18,4.5,4.5,,
C0CDC4F754,B4FA749917,012018,SR-832,2018-01-29,501,19800.0,5,495.0,495.0,,0.0
7505EF1EFB,C84788CD6E,012018,10000CA18V8565,2018-01-10,2801,1562.0,28,218.68,218.68,,0.0
7EC06C0F12,87DE9C0172,012018,1718F07SNL008813,2018-01-18,1,52500.0,12,,,6300.0,
B017546699,6391A8EBE9,012018,W40525110118P,2018-01-11,1801,4991.0,18,449.19,449.19,,0.0
5A4FC8F226,AA67FDC3A6,012018,04B045/20479,2018-01-11,1,39712.68,5,,,1985.63,5552.0
62CD3BF990,657B1CD6F6,012018,3724033078,2018-01-27,1,34125.0,18,0.0,0.0,6142.5,
824D0342B8,AED0BE7945,012018,1088,2018-01-16,1,16877.96,18,,,3038.04,0.0
D2D5838FE3,EE103260DF,012018,GSTN1706376,2018-01-09,1,8740.75,5,218.52,218.52,,0.0
25494F79FA,B77A5168B0,012018,NDCPB0002219798,2018-01-04,1,621.8,18,55.96,55.96,0.0,0.0
F4E518B376,48BE3A00A8,012018,17-12836,2018-01-31,1801,8769.2,18,,,1578.46,0.0
0B1F7470CA,622D69225D,012018,1132022394,2018-01-07,1,1648792.86,28,,,461662.0,
5A4FC8F226,3731C1C2E5,012018,SGC/09/084,2018-01-02,1801,1050000.0,18,,,189000.0,0.0
7EC06C0F12,178EF6483E,012018,HSR-BILL236,2018-01-25,1,49500.0,0,,,0.0,0.0
2DCA4E61B2,FAF63EB791,012018,L-5314/17-18,2018-01-31,2,1246195.0,12,,,149543.4,0.0
D549CF5003,B4FA749917,012018,SR-800,2018-01-22,501,575.0,5,14.38,14.38,,0.0
62CD3BF990,E7ABFE6677,012018,RT/2353,2018-01-19,1800,5728.0,18,515.52,515.52,,0.0
B64AAF6835,FA8D45A223,012018,8952031175,2018-01-13,1,38768.1,28,0.0,0.0,10855.07,0.0
D700E408A8,B20E4179A3,012018,GST/17-18/2642,2018-01-18,1,98771.0,18,,,17778.78,0.0
D700E408A8,AC86298B35,012018,ST/1718/0503,2018-01-30,1201,83300.0,12,,,9996.0,0.0
73D046461A,3DCB4A6D02,012018,BSS019/2018,2018-01-31,1800,16780.0,18,1510.0,1510.0,,
B64AAF6835,FA8D45A223,012018,8952031285,2018-01-14,1,81413.01,28,0.0,0.0,22795.64,0.0
2DCA4E61B2,5601FFF625,012018,PSI1801666,2018-01-11,501,185537.0,5,,,9276.85,0.0
C15EA8D5A2,F13D0F42B5,012018,104339,2018-01-31,1801,19590.0,18,,,3526.2,0.0
CED3A7832E,242328E36D,012018,2970000096,2018-01-06,2,900180.0,28,,,252050.4,
0F08B6DF08,45B61EA6AC,012018,MHIN3-021017668,2018-01-29,1801,86317.0,18,,,15537.06,0.0
099952F740,B77A5168B0,012018,NDCPB0002315024,2018-01-04,1,500.0,18,45.0,45.0,,
CADC29DB4C,C2796B7083,012018,007/BI/17000477,2018-01-27,2801,2289.71,28,320.56,320.56,,0.0
1480269030,68D316FF83,012018,004440050346,2018-01-16,1,4159.86,18,0.0,0.0,748.77,0.0
6920AA6331,A6F94172DB,012018,86,2018-01-04,1801,363495.72,18,32714.61,32714.61,,0.0
FAB06B8D5F,29341A7EC0,012018,3318-73301009732,2018-01-16,1801,9100.0,18,,,1638.0,0.0
7EC06C0F12,358C580C68,012018,64,2018-01-30,1,6439.8,18,,,1159.16,0.0
446822C03B,0487358EDF,012018,R1700062,2018-01-01,2,75.0,18,,,13.5,0.0
F4E518B376,418E3CFC45,012018,C03118R000203,2018-01-31,1,1361.11,18,122.5,122.5,,
CADC29DB4C,515D10E17B,012018,1718/W/17497,2018-01-06,2801,725.94,28,101.63,101.63,,0.0
6920AA6331,6186DCE398,012018,1093,2018-01-16,2,2303173.0,0,0.0,0.0,,0.0
388BE0B69C,84C5425431,012018,1509,2018-01-22,1,32206.0,18,2898.54,2898.54,,0.0
7505EF1EFB,BDBDF35051,012018,003/BI/17001072,2018-01-29,1,7113.0,28,995.82,995.82,,0.0
8381D0626D,418E3CFC45,012018,C03118R001068,2018-01-31,1,2575.56,18,231.8,231.8,,
0FF6759AB7,EAEB4709CB,012018,4540084621,2018-01-28,1,832951.39,5,,,41647.57,
FAB06B8D5F,85D78C23F7,012018,LTS1403P01,2018-01-10,3,280574.0,18,,,50503.32,0.0
A5227F3731,399AED2086,012018,2017-18000120838,2018-01-20,1801,3300.0,18,,,594.0,0.0
65B11036F4,FFAC316D65,012018,30220181252,2018-01-22,1801,687.0,18,,,123.66,0.0
7EC06C0F12,98DBA6A4C3,012018,24113003077774,2018-01-21,1,1529280.0,18,0.0,0.0,275270.0,0.0
7EC06C0F12,87DE9C0172,012018,1718F07SNL008831,2018-01-18,1,52500.0,12,,,6300.0,
B64AAF6835,FA8D45A223,012018,8953026673,2018-01-19,1,112232.75,28,0.0,0.0,31425.17,0.0
824D0342B8,AED0BE7945,012018,1083,2018-01-15,1,14310.0,18,,,2575.8,0.0
39CBE490DA,6EFA7B405D,012018,03171809TI001260,2018-01-31,1801,1041.1,18,93.7,93.7,,0.0
8381D0626D,038C888B45,012018,5462009565,2018-01-17,1,325385.78,12,,,39046.29,
A515052EAE,85857555BE,012018,C532856,2018-01-17,1201,116178.0,12,,,13941.36,0.0
F4E518B376,C29B2C5339,012018,SSS/17-18/626,2018-01-17,1800,5160.0,18,,,928.8,
B64AAF6835,FA8D45A223,012018,8952031202,2018-01-14,1,38768.1,28,0.0,0.0,10855.07,0.0
A688617A12,F887B76D41,012018,FGR/17/P/50061,2018-01-29,1,64000.0,28,0.0,0.0,17920.0,0.0
A2A1EFDBE6,C7FBAB9F62,012018,4660000772,2018-01-17,1,2727.12,18,,,490.88,
86DFEB0A3F,79C8F6316F,012018,1327,2018-01-22,1801,3900.0,18,,,702.0,0.0
B64AAF6835,2A1F4CDE40,012018,U2/0268,2018-01-30,1800,11900.0,18,,,2142.0,
8749F52DE8,59014E472D,012018,139462620180115,2018-01-29,1,5567.53,18,501.08,501.08,,0.0
CADC29DB4C,3FADD8BB1E,012018,020/BI/17000223,2018-01-21,2,103.83,12,6.23,6.23,,0.0
8381D0626D,C0E1652E33,012018,2790,2018-01-09,1801,34179.0,18,3076.11,3076.11,,0.0
A7D3CEE190,FE75D160C8,012018,1118728359,2018-01-10,1,1407007.99,12,,,168841.01,
62CD3BF990,62CB2D3C4D,012018,GSTV-14432,2018-01-25,501,9000.0,5,225.0,225.0,,0.0
62CD3BF990,18FF22D9AA,012018,RR4302,2018-01-08,1,2940.0,12,176.4,176.4,,0.0
39CBE490DA,399AED2086,012018,2017-18000103245,2018-01-02,1801,2175.0,18,,,391.5,0.0
8381D0626D,C0E1652E33,012018,2795,2018-01-15,1801,27495.0,18,2474.55,2474.55,,0.0
73D046461A,46B6261B27,012018,JT/1657,2018-01-11,1,9375.0,12,562.5,562.5,,0.0
824D0342B8,7F2AE81659,012018,513448,2018-01-31,1,47628.0,12,0.0,0.0,5715.36,0.0
B64AAF6835,FA8D45A223,012018,8953023488,2018-01-02,1,67067.25,28,0.0,0.0,18778.83,0.0
A7215054CB,6F10FCFBDE,012018,G00619,2018-01-09,500,3102480.0,5,,,155124.0,
0B1F7470CA,2BDCB6B4F5,012018,G4847,2018-01-31,1801,99451.0,18,8950.59,8950.59,,0.0
099952F740,6C1197F1E9,012018,MST01899,2018-01-11,1,31934.5,18,2874.11,2874.11,,0.0
6920AA6331,98EA228E92,012018,B/1718/GG/0711,2018-01-18,501,970870.0,5,,,48543.5,0.0
35595B66EB,88AC7B72E0,012018,171814001PC00305,2018-01-18,1,2647.0,18,238.23,238.23,,0.0
5DA0527958,9460E90BF6,012018,ATS/JAN-18/5427,2018-01-06,2,4368.0,18,393.12,393.12,,0.0
2DCA4E61B2,FAF63EB791,012018,L-5203/17-18,2018-01-29,2,97280.0,12,,,11673.6,0.0
25494F79FA,CFCC5E41B4,012018,TC18224121316411,2018-01-11,1,76.27,18,,,13.73,
099952F740,1C8E655C92,012018,MTH00982,2018-01-15,1801,65252.97,18,5872.77,5872.77,,0.0
0F08B6DF08,E306607037,012018,2118702230004891,2018-01-18,1,2133.58,18,0.0,0.0,384.04,0.0
446822C03B,0487358EDF,012018,R1700052,2018-01-01,2,75.0,18,,,13.5,0.0
D2D5838FE3,471900C87C,012018,541,2018-01-19,501,854448.0,5,21361.2,21361.2,,0.0
62DA42E293,3DD3E45DA4,012018,1011/2017-18,2018-01-20,1801,24724.0,18,,,4450.32,0.0
BE46B01E78,D3CFB6E8EA,012018,2702849507,2018-01-11,2,378340.48,18,0.0,0.0,68101.28,0.0
80E18AC42B,144C638380,012018,9287952958,2018-01-28,1,257842.58,12,0.0,0.0,30941.11,0.0
5DA0527958,E53FEB2CEB,012018,MT/GJ10581/1718,2018-01-08,1801,4700.0,18,,,846.0,0.0
824D0342B8,60133EB8FF,012018,17182645B,2018-01-29,501,92293.01,5,2307.33,2307.33,,0.0
824D0342B8,4D0958D30E,012018,PBPO0005431010,2018-01-01,1,30.0,18,2.7,2.7,,
ED1A30241D,897D147889,012018,1170,2018-01-06,1200,1739.0,12,104.5,104.5,,
DA889E1B83,2588C207C5,012018,VJ2900359600,2018-01-14,1801,579976.0,18,,,104395.68,0.0
8381D0626D,3C9D7985F6,012018,031900000022,2018-01-31,1800,138600.0,18,12474.0,12474.0,,
8749F52DE8,A422A99DA5,012018,09LNS0026180,2018-01-28,1,197088.7,28,,,55184.84,
8749F52DE8,6B577967A0,012018,3330S0025340,2018-01-31,1,1060.16,18,,,190.83,
A7215054CB,A1AFA4A38D,012018,3104036397,2018-01-30,1801,391500.0,18,,,70470.0,0.0
8749F52DE8,6B577967A0,012018,33LCS0031931,2018-01-06,1,31728.2,28,,,8883.9,
B64AAF6835,FA8D45A223,012018,8953026648,2018-01-19,1,67067.25,28,0.0,0.0,18778.83,0.0
824D0342B8,79555279E7,012018,05385,2018-01-30,1,60186.0,12,3611.16,3611.16,,0.0
8E3F4A0679,FAB06B8D5F,012018,227308892,2018-01-24,1801,22500.0,18,2025.0,2025.0,,0.0
6920AA6331,58FBA3BCE9,012018,FCI-163,2018-01-31,101,1546343.0,0,0.0,0.0,0.0,0.0
35595B66EB,E81BC4EE3A,012018,2344FMBIL0007859,2018-01-11,1,115.0,18,10.35,10.35,,0.0
CADC29DB4C,17F9A34670,012018,JAN18G201800382,2018-01-05,1801,2097.46,18,188.77,188.77,,0.0
0B1F7470CA,93C08E0964,012018,T-1379,2018-01-23,101,9253.0,18,832.77,832.77,0.0,0.0
A5227F3731,2AB36241D1,012018,T-184,2018-01-20,101,6180.0,18,556.2,556.2,0.0,0.0
